2020-07-22 16:50:51 _internal.py [line:113] INFO:  * Restarting with stat
2020-07-22 16:52:03 mongo_pool.py [line:48] INFO: 插入新代理：{'ip': '107.182.235.6', 'port': '3128', 'protocol_type': 2, 'anonymous_type': 2, 'idle': 2.84, 'area': 'SSL高匿_北美地区', 'score': 50, 'disable_domains': [], '_id': '107.182.235.6'}
2020-07-22 16:52:06 mongo_pool.py [line:50] WARNING: 已存在代理：{'ip': '107.182.235.6', 'port': '3128', 'protocol_type': 2, 'anonymous_type': 2, 'idle': 2.2, 'area': 'SSL高匿_北美地区', 'score': 50, 'disable_domains': []}
2020-07-22 16:52:19 mongo_pool.py [line:48] INFO: 插入新代理：{'ip': '103.251.225.18', 'port': '35101', 'protocol_type': 0, 'anonymous_type': 2, 'idle': 7.62, 'area': '印度', 'score': 50, 'disable_domains': [], '_id': '103.251.225.18'}
2020-07-22 16:53:06 mongo_pool.py [line:50] WARNING: 已存在代理：{'ip': '131.196.253.10', 'port': '3128', 'protocol_type': 1, 'anonymous_type': 2, 'idle': 9.34, 'area': '欧洲', 'score': 50, 'disable_domains': []}
2020-07-22 16:53:15 __init__.py [line:465] INFO: Running job Every 2 minutes do run() (last run: [never], next run: 2020-07-22 16:53:15)
2020-07-22 16:53:15 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '122.226.57.70', 'port': '8888', 'protocol_type': 0, 'anonymous_type': 2, 'idle': 0.5, 'area': '浙江省金华市  电信', 'score': 50, 'disable_domains': ['taobao.com']}
2020-07-22 16:53:16 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '180.114.165.149', 'port': '8118', 'protocol_type': 0, 'anonymous_type': 2, 'idle': 0.57, 'area': '江苏省无锡市', 'score': 50, 'disable_domains': []}
2020-07-22 16:53:16 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.15.17.136', 'port': '8118', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': 'SSL高匿_欧盟', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:16 __init__.py [line:465] INFO: Running job Every 2 minutes do run() (last run: [never], next run: 2020-07-22 16:53:16)
2020-07-22 16:53:17 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '122.226.57.70', 'port': '8888', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '浙江省金华市  电信', 'score': 49, 'disable_domains': ['taobao.com']}
